,video,method,value
472,video_60,maxim_realblur_j,2.285795865841484
473,video_60,nafnet_reds,3.380826758736151
474,video_60,maxim_reds,3.3120648907611514
475,video_60,maxim_gopro,5.061113045912064
476,video_60,deblurgan_inception,4.461792967355364
477,video_60,real_blur,0.0
478,video_60,mffdnet,1.1303658996974664
479,video_60,gt,7.347491277704289
480,video_61,gt,9.926975298321699
481,video_61,mffdnet,0.7259969206851338
482,video_61,maxim_reds,2.9365584111563745
483,video_61,nafnet_reds,6.766443937463533
484,video_61,maxim_realblur_j,5.914810784262435
485,video_61,deblurgan_inception,4.199554984540368
486,video_61,maxim_gopro,0.8338847882569489
487,video_61,real_blur,0.0
488,video_62,maxim_gopro,4.174582146517953
489,video_62,mffdnet,0.0006900409342733838
490,video_62,deblurgan_inception,3.9047419564342594
491,video_62,maxim_reds,2.0872692463225566
492,video_62,maxim_realblur_j,4.9990762117995615
493,video_62,real_blur,0.0
494,video_62,nafnet_reds,6.686086264434493
495,video_62,gt,6.2660754492463475
496,video_63,gt,3.986150725417261
497,video_63,maxim_reds,4.371161372874129
498,video_63,deblurgan_inception,3.762768834758835
499,video_63,maxim_realblur_j,3.924124242501508
500,video_63,real_blur,1.664269899001952
501,video_63,maxim_gopro,4.151161230029114
502,video_63,nafnet_reds,2.241209891450179
503,video_63,mffdnet,0.0
504,video_64,mffdnet,1.7782552790012625
505,video_64,deblurgan_inception,3.5826791146747254
506,video_64,maxim_gopro,3.2129248849408176
507,video_64,maxim_reds,1.793172044453573
508,video_64,gt,6.580142170950903
509,video_64,maxim_realblur_j,2.333716299936643
510,video_64,real_blur,0.0
511,video_64,nafnet_reds,3.841937149057445
512,video_65,maxim_reds,0.7506386777153472
513,video_65,maxim_realblur_j,7.0085946149840295
514,video_65,gt,6.0606711973191745
515,video_65,maxim_gopro,0.3231304952403543
516,video_65,nafnet_reds,7.482235708206109
517,video_65,real_blur,0.0
518,video_65,deblurgan_inception,3.6006011243518814
519,video_65,mffdnet,0.2165760059720313
520,video_66,maxim_gopro,1.0512793502530944
521,video_66,real_blur,0.0
522,video_66,gt,7.766601982666105
523,video_66,maxim_realblur_j,3.710556649031191
524,video_66,nafnet_reds,3.7934684799899783
525,video_66,deblurgan_inception,3.8973365178218877
526,video_66,mffdnet,0.6744792147370987
527,video_66,maxim_reds,0.8293206089957195
528,video_67,mffdnet,4.70075972073312
529,video_67,real_blur,0.0
530,video_67,maxim_gopro,8.373082092669698
531,video_67,nafnet_reds,8.149409606058494
532,video_67,deblurgan_inception,6.026839504693207
533,video_67,gt,11.354640609120919
534,video_67,maxim_reds,2.9346618383222385
535,video_67,maxim_realblur_j,8.814337407883047
536,video_68,real_blur,0.0
537,video_68,maxim_realblur_j,5.313171071102415
538,video_68,gt,5.9423096594676315
539,video_68,maxim_reds,3.1255079741397003
540,video_68,nafnet_reds,6.771578676912681
541,video_68,deblurgan_inception,4.390022349249195
542,video_68,maxim_gopro,3.033199557245157
543,video_68,mffdnet,1.0073140319743643
544,video_69,real_blur,0.0
545,video_69,maxim_realblur_j,1.7917802181881688
546,video_69,nafnet_reds,2.4207618445068526
547,video_69,maxim_gopro,1.0003779681340814
548,video_69,mffdnet,0.6209514067233738
549,video_69,gt,6.314590698069636
550,video_69,maxim_reds,0.31824115423399985
551,video_69,deblurgan_inception,2.2960896536305926
552,video_70,maxim_gopro,1.3213539639883292
553,video_70,gt,3.1746871411163324
554,video_70,maxim_reds,2.357937878531396
555,video_70,mffdnet,0.7390492484987657
556,video_70,deblurgan_inception,2.9749154957005626
557,video_70,maxim_realblur_j,2.165175329174937
558,video_70,nafnet_reds,1.1718589266626385
559,video_70,real_blur,0.0
560,video_71,maxim_reds,3.739013235691209
561,video_71,maxim_realblur_j,5.454699670019729
562,video_71,deblurgan_inception,7.645975838276599
563,video_71,gt,8.678595215183838
564,video_71,real_blur,0.0
565,video_71,nafnet_reds,7.41208590724992
566,video_71,maxim_gopro,2.6332949883204035
567,video_71,mffdnet,1.8967075164250817
568,video_72,real_blur,0.0
569,video_72,maxim_gopro,2.2330581139948036
570,video_72,mffdnet,0.3018260259555203
571,video_72,maxim_reds,2.979489895412194
572,video_72,deblurgan_inception,0.9954664270463893
573,video_72,maxim_realblur_j,3.530732300668343
574,video_72,gt,4.370345517759696
575,video_72,nafnet_reds,2.432729712000324
576,video_73,maxim_reds,0.6901590180558876
577,video_73,gt,9.810460059380109
578,video_73,nafnet_reds,7.964881545040345
579,video_73,deblurgan_inception,3.978297723906591
580,video_73,maxim_gopro,1.089548996114
581,video_73,mffdnet,0.04151970519418635
582,video_73,real_blur,0.0
583,video_73,maxim_realblur_j,5.522280380779903
584,video_74,maxim_realblur_j,1.6567979181282844
585,video_74,maxim_gopro,1.7401437188719089
586,video_74,nafnet_reds,4.899241563190076
587,video_74,gt,6.54585193140205
588,video_74,mffdnet,0.4508024276064482
589,video_74,deblurgan_inception,3.6134775717641383
590,video_74,maxim_reds,0.21224964743451147
591,video_74,real_blur,0.0
592,video_75,maxim_realblur_j,0.0
593,video_75,deblurgan_inception,0.3020692183607701
594,video_75,maxim_gopro,1.5282384729676464
595,video_75,maxim_reds,1.941936897158987
596,video_75,real_blur,0.2965820890242646
597,video_75,nafnet_reds,4.194167365939689
598,video_75,mffdnet,0.3455269792199458
599,video_75,gt,5.574666940281362
600,video_76,nafnet_reds,5.341083893188937
601,video_76,deblurgan_inception,4.1065803816275
602,video_76,maxim_gopro,3.4247644658828795
603,video_76,gt,7.568414695065108
604,video_76,maxim_reds,3.630823921646197
605,video_76,real_blur,0.0
606,video_76,maxim_realblur_j,1.9196049662417574
607,video_76,mffdnet,0.11506728717909098
608,video_77,nafnet_reds,1.177260437224141
609,video_77,deblurgan_inception,0.7533729268372937
610,video_77,maxim_realblur_j,0.0
611,video_77,mffdnet,0.5295049335841412
612,video_77,maxim_gopro,0.8661654970943573
613,video_77,maxim_reds,0.6729928177822587
614,video_77,real_blur,0.1712284174948353
615,video_77,gt,4.10810285582234
616,video_78,maxim_gopro,3.6477573291154015
617,video_78,mffdnet,0.0
618,video_78,nafnet_reds,3.6850649465994203
619,video_78,deblurgan_inception,4.059159439214322
620,video_78,real_blur,0.8711291959173386
621,video_78,gt,5.037070337264161
622,video_78,maxim_realblur_j,1.3688063804127362
623,video_78,maxim_reds,3.3349780137718312
624,video_79,nafnet_reds,5.846702756547793
625,video_79,mffdnet,0.7766794922567408
626,video_79,maxim_gopro,0.5629747950412671
627,video_79,gt,7.195711532553727
628,video_79,deblurgan_inception,2.1821928742564767
629,video_79,maxim_realblur_j,4.441536777239371
630,video_79,maxim_reds,1.4597823637195146
631,video_79,real_blur,0.0
632,video_80,gt,5.716270300649283
633,video_80,maxim_realblur_j,2.484049489776546
634,video_80,deblurgan_inception,2.3201762704270132
635,video_80,nafnet_reds,4.591472437395427
636,video_80,mffdnet,0.590498327274176
637,video_80,maxim_reds,0.9409464405391432
638,video_80,real_blur,0.0
639,video_80,maxim_gopro,2.1295734719829817
640,video_81,maxim_reds,2.929140007519549
641,video_81,gt,4.648528719219046
642,video_81,nafnet_reds,3.948108884957123
643,video_81,deblurgan_inception,3.4429838593597832
644,video_81,maxim_gopro,2.662030065108923
645,video_81,maxim_realblur_j,1.9711339379359285
646,video_81,mffdnet,1.148809463397339
647,video_81,real_blur,0.0
648,video_82,nafnet_reds,5.674809771780108
649,video_82,maxim_reds,0.46226115362964304
650,video_82,real_blur,0.0
651,video_82,deblurgan_inception,3.6591965890084026
652,video_82,maxim_gopro,0.37869151882976304
653,video_82,mffdnet,2.865877979730528
654,video_82,maxim_realblur_j,1.223103457956901
655,video_82,gt,8.53437071528208
656,video_83,mffdnet,1.7109240311566203
657,video_83,nafnet_reds,6.395978848108287
658,video_83,real_blur,0.0
659,video_83,maxim_realblur_j,1.6204513416262283
660,video_83,maxim_reds,2.1658605971569758
661,video_83,gt,8.321089421748056
662,video_83,deblurgan_inception,3.7579700148061455
663,video_83,maxim_gopro,3.8761328423572983
664,video_84,gt,11.431958119438042
665,video_84,mffdnet,2.6824177440723584
666,video_84,nafnet_reds,9.396120421283106
